Date;Country;CPI
1.10.23;Chile;0.44
1.11.23;Chile;0.75
1.12.23;Chile;-0.53
1.1.24;Chile;0.70
1.2.24;Chile;0.59
1.3.24;Chile;0.37
1.4.24;Chile;0.35
1.5.24;Chile;0.35
1.6.24;Chile;0.35
1.7.24;Chile;0.35
1.8.24;Chile;0.35
1.9.24;Chile;0.35
1.1.12;Colombia;0.73
1.2.12;Colombia;0.61
1.3.12;Colombia;0.12
1.4.12;Colombia;0.14
1.5.12;Colombia;0.30
1.6.12;Colombia;0.09
1.7.12;Colombia;-0.03
1.8.12;Colombia;0.04
1.9.12;Colombia;0.29
1.10.12;Colombia;0.16
1.11.12;Colombia;-0.13
1.12.12;Colombia;0.09
1.1.13;Colombia;0.30
1.2.13;Colombia;0.45
1.3.13;Colombia;0.20
1.4.13;Colombia;0.25
1.5.13;Colombia;0.28
1.6.13;Colombia;0.24
1.7.13;Colombia;0.04
1.8.13;Colombia;0.08
1.9.13;Colombia;0.30
1.10.13;Colombia;-0.26
1.11.13;Colombia;-0.22
1.12.13;Colombia;0.26
1.1.14;Colombia;0.49
1.2.14;Colombia;0.63
1.3.14;Colombia;0.39
1.4.14;Colombia;0.46
1.5.14;Colombia;0.49
1.6.14;Colombia;0.09
1.7.14;Colombia;0.15
1.8.14;Colombia;0.20
1.9.14;Colombia;0.14
1.10.14;Colombia;0.16
1.11.14;Colombia;0.14
1.12.14;Colombia;0.26
1.1.15;Colombia;0.64
1.2.15;Colombia;1.15
1.3.15;Colombia;0.58
1.4.15;Colombia;0.54
1.5.15;Colombia;0.26
1.6.15;Colombia;0.11
1.7.15;Colombia;0.19
1.8.15;Colombia;0.48
1.9.15;Colombia;0.72
1.10.15;Colombia;0.68
1.11.15;Colombia;0.60
1.12.15;Colombia;0.62
1.1.16;Colombia;1.29
1.2.16;Colombia;1.28
1.3.16;Colombia;0.94
1.4.16;Colombia;0.50
1.5.16;Colombia;0.51
1.6.16;Colombia;0.48
